2015-12-11 11:08:42.049 : Sofer :00123140 , borderou = null
2015-12-11 11:08:42.458 : Sofer :00123159 , borderou = null
2015-12-11 11:08:42.874 : Sofer :00123165 , borderou = 0001387310
2015-12-11 11:08:44.516 : Sofer :00123166 , borderou = 0001387193
2015-12-11 11:08:47.136 : Sofer :00123203 , borderou = null
2015-12-11 11:08:47.501 : Sofer :00123263 , borderou = null
2015-12-11 11:08:48.006 : Sofer :00123280 , borderou = null
2015-12-11 11:08:48.43 : Sofer :00123281 , borderou = null
2015-12-11 11:11:41.888 : Sofer :00123300 , borderou = null
2015-12-11 11:11:42.313 : Sofer :00120505 , borderou = null
2015-12-11 11:11:42.731 : Sofer :00120509 , borderou = 0001387283
2015-12-11 11:20:44.127 : Sofer :00123300 , borderou = null
2015-12-11 11:20:44.513 : Sofer :00120505 , borderou = null
2015-12-11 11:20:45.163 : Sofer :00120509 , borderou = 0001387283
2015-12-11 12:47:01.68 : Sofer :00123300 , borderou = null
2015-12-11 12:47:02.146 : Sofer :00120505 , borderou = null
2015-12-11 12:47:02.568 : Sofer :00120509 , borderou = 0001387283
2016-06-21 12:04:50.46 : Sofer :00123065 , borderou = 0001400232
2016-06-21 12:06:02.149 : Sofer :00123065 , borderou = 0001400232
2016-06-21 12:18:01.96 : Sofer :00123065 , borderou = 0001400232
2016-06-21 12:21:47.784 : Sofer :00123065 , borderou = 0001400232
2016-06-21 12:23:15.876 : Sofer :00123065 , borderou = 0001400232
2016-06-21 12:29:53.921 : Sofer :00123065 , borderou = 0001400232
2016-06-21 12:52:05.954 : Sofer :00123065 , borderou = 0001400232
2016-06-21 12:52:08.263 : Sofer :00123085 , borderou = 0001400232
2016-06-21 12:52:10.315 : Sofer :00123086 , borderou = 0001400232
2016-06-21 12:52:12.816 : Sofer :00123108 , borderou = 0001400232
2016-06-21 12:52:15.017 : Sofer :00123109 , borderou = 0001400232
2016-06-21 12:52:17.431 : Sofer :00123124 , borderou = 0001400232
2016-06-21 12:52:19.488 : Sofer :00123129 , borderou = 0001400232
2016-06-21 12:52:21.636 : Sofer :00123131 , borderou = 0001400232
2016-06-21 12:52:23.749 : Sofer :00123137 , borderou = 0001400232
2016-06-21 12:52:26.39 : Sofer :00123140 , borderou = 0001400232
2016-06-21 12:52:28.716 : Sofer :00123165 , borderou = 0001400232
2016-06-21 12:52:31.735 : Sofer :00123166 , borderou = 0001400232
2016-06-21 12:52:33.872 : Sofer :00123203 , borderou = 0001400232
2016-06-21 12:52:35.943 : Sofer :00123263 , borderou = 0001400232
2016-06-21 12:52:38.161 : Sofer :00123280 , borderou = 0001400232
2016-06-21 12:52:40.225 : Sofer :00123281 , borderou = 0001400232
2016-06-21 12:52:42.054 : Sofer :00123300 , borderou = 0001400232
2016-06-21 12:52:45.037 : Sofer :00123335 , borderou = 0001400232
